model,MAE,MAPE
Baseline (Lag-24),2298.79,4.65
Linear Regression,1455.4556228323283,2.870558844214952
Decision Tree,1928.851715723402,3.5766385335179742
Random Forest,1425.8736584245307,2.5363937821654843
XGBoost,1360.8455755921805,2.400367809793104
